listing_sku,variant_sku,karat,width_mm,ring_size_us,estimated_grams,material_usd,landed_cost_usd,margin_multiplier,list_usd,sale_25pct_usd,quantity,base_thickness_mm,peak_thickness_mm,effective_thickness_mm
EON-MERID-TT-18,EON-MERID-TT-18-05-060,18K,5,6,4.93,683.98,768.98,2.05,2105,1578.75,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-05-065,18K,5,6.5,5.03,695.52,780.52,2.05,2135,1601.25,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-05-070,18K,5,7,5.12,705.9,790.9,2.05,2165,1623.75,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-05-075,18K,5,7.5,5.21,716.28,801.28,2.05,2195,1646.25,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-05-080,18K,5,8,5.3,726.66,811.66,2.05,2220,1665,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-05-085,18K,5,8.5,5.4,738.2,823.2,2.05,2255,1691.25,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-05-090,18K,5,9,5.5,749.73,834.73,2.05,2285,1713.75,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-05-095,18K,5,9.5,5.59,760.11,845.11,2.05,2310,1732.5,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-05-100,18K,5,10,5.68,770.49,855.49,2.05,2340,1755,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-05-105,18K,5,10.5,5.78,782.03,867.03,2.05,2370,1777.5,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-05-110,18K,5,11,5.87,792.41,877.41,2.05,2400,1800,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-05-115,18K,5,11.5,5.96,802.79,887.79,2.05,2430,1822.5,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-05-120,18K,5,12,6.05,813.17,898.17,2.05,2455,1841.25,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-05-125,18K,5,12.5,6.15,824.7,909.7,2.05,2490,1867.5,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-05-130,18K,5,13,6.24,835.08,920.08,2.05,2515,1886.25,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-06-030,18K,6,3,5.17,711.67,796.67,2.05,2180,1635,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-06-035,18K,6,3.5,5.29,725.51,810.51,2.05,2220,1665,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-06-040,18K,6,4,5.4,738.2,823.2,2.05,2255,1691.25,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-06-045,18K,6,4.5,5.52,752.04,837.04,2.05,2290,1717.5,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-06-050,18K,6,5,5.63,764.72,849.72,2.05,2325,1743.75,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-06-055,18K,6,5.5,5.75,778.57,863.57,2.05,2365,1773.75,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-06-060,18K,6,6,5.86,791.25,876.25,2.05,2400,1800,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-06-065,18K,6,6.5,5.97,803.94,888.94,2.05,2430,1822.5,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-06-070,18K,6,7,6.08,816.63,901.63,2.05,2465,1848.75,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-06-075,18K,6,7.5,6.2,830.47,915.47,2.05,2505,1878.75,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-06-080,18K,6,8,6.31,843.16,928.16,2.05,2540,1905,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-06-085,18K,6,8.5,6.42,855.85,940.85,2.05,2575,1931.25,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-06-090,18K,6,9,6.53,868.53,953.53,2.05,2610,1957.5,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-06-095,18K,6,9.5,6.65,882.37,967.37,2.05,2645,1983.75,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-06-100,18K,6,10,6.76,895.06,980.06,2.05,2680,2010,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-06-105,18K,6,10.5,6.87,907.75,992.75,2.05,2715,2036.25,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-06-110,18K,6,11,6.98,920.44,1005.44,2.05,2750,2062.5,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-06-115,18K,6,11.5,7.1,934.28,1019.28,2.05,2790,2092.5,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-06-120,18K,6,12,7.21,946.97,1031.97,2.05,2825,2118.75,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-06-125,18K,6,12.5,7.33,960.81,1045.81,2.05,2860,2145,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-06-130,18K,6,13,7.44,973.5,1058.5,2.05,2895,2171.25,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-07-030,18K,7,3,5.62,763.57,848.57,2.05,2320,1740,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-07-035,18K,7,3.5,5.75,778.57,863.57,2.05,2365,1773.75,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-07-040,18K,7,4,5.88,793.56,878.56,2.05,2405,1803.75,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-07-045,18K,7,4.5,6.01,808.56,893.56,2.05,2445,1833.75,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-07-050,18K,7,5,6.14,823.55,908.55,2.05,2485,1863.75,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-07-055,18K,7,5.5,6.28,839.7,924.7,2.05,2530,1897.5,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-07-060,18K,7,6,6.41,854.69,939.69,2.05,2570,1927.5,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-07-065,18K,7,6.5,6.55,870.84,955.84,2.05,2615,1961.25,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-07-070,18K,7,7,6.68,885.83,970.83,2.05,2655,1991.25,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-07-075,18K,7,7.5,6.82,901.98,986.98,2.05,2700,2025,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-07-080,18K,7,8,6.95,916.98,1001.98,2.05,2740,2055,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-07-085,18K,7,8.5,7.08,931.97,1016.97,2.05,2780,2085,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-07-090,18K,7,9,7.21,946.97,1031.97,2.05,2825,2118.75,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-07-095,18K,7,9.5,7.35,963.11,1048.11,2.05,2865,2148.75,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-07-100,18K,7,10,7.48,978.11,1063.11,2.05,2910,2182.5,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-07-105,18K,7,10.5,7.62,994.26,1079.26,2.05,2950,2212.5,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-07-110,18K,7,11,7.75,1009.25,1094.25,2.05,2995,2246.25,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-07-115,18K,7,11.5,7.89,1025.4,1110.4,2.05,3040,2280,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-07-120,18K,7,12,8.02,1040.39,1125.39,2.05,3080,2310,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-07-125,18K,7,12.5,8.15,1055.39,1140.39,2.05,3120,2340,20,1.5,1.5,1.5
EON-MERID-TT-18,EON-MERID-TT-18-07-130,18K,7,13,8.28,1070.38,1155.38,2.05,3160,2370,20,1.5,1.5,1.5
