karat,profil,genislik_mm,beden_us,gram_1_5mm,landed_usd,motor_usd,etsy_liste_usd,gorunen_sale_usd,floor_usd,offsite_floor_usd,canli_liste_usd,fark_usd,fark_yuzde,kontrol
18K,standard,10,4,8.86,994.96,1542.0,2060.0,1545.0,1112.0,1336.0,2780.0,-720.0,-25.9,OK
18K,standard,10,5,9.29,1040.34,1613.0,2155.0,1616.25,1163.0,1397.0,2905.0,-750.0,-25.8,OK
18K,standard,10,6,9.72,1085.71,1683.0,2245.0,1683.75,1214.0,1458.0,3030.0,-785.0,-25.9,OK
18K,standard,10,7,10.15,1131.09,1753.0,2340.0,1755.0,1264.0,1519.0,3160.0,-820.0,-25.9,OK
18K,standard,10,8,10.58,1176.46,1824.0,2435.0,1826.25,1315.0,1580.0,3280.0,-845.0,-25.8,OK
18K,standard,10,9,11.01,1221.84,1894.0,2530.0,1897.5,1366.0,1641.0,3405.0,-875.0,-25.7,OK
18K,standard,10,10,11.44,1267.22,1964.0,2620.0,1965.0,1416.0,1701.0,3530.0,-910.0,-25.8,OK
18K,standard,10,11,11.58,1281.99,1987.0,2650.0,1987.5,1433.0,1721.0,3655.0,-1005.0,-27.5,OK
18K,standard,10,12,12.3,1357.97,2105.0,2810.0,2107.5,1518.0,1823.0,3780.0,-970.0,-25.7,OK
18K,standard,10,13,12.73,1403.34,2175.0,2900.0,2175.0,1568.0,1884.0,3905.0,-1005.0,-25.7,OK
18K,standard,10,14,13.16,1448.72,2246.0,2995.0,2246.25,1619.0,1945.0,4030.0,-1035.0,-25.7,OK
18K,standard,10,15,13.59,1494.1,2316.0,3090.0,2317.5,1670.0,2006.0,4155.0,-1065.0,-25.6,OK
18K,standard,10,16,14.02,1539.47,2386.0,3185.0,2388.75,1721.0,2067.0,4280.0,-1095.0,-25.6,OK
18K,standard,11,4,9.75,1088.88,1688.0,2255.0,1691.25,1217.0,1462.0,3045.0,-790.0,-25.9,OK
18K,standard,11,5,10.22,1138.47,1765.0,2355.0,1766.25,1273.0,1529.0,3185.0,-830.0,-26.1,OK
18K,standard,11,6,10.7,1189.13,1843.0,2460.0,1845.0,1329.0,1597.0,3325.0,-865.0,-26.0,OK
18K,standard,11,7,11.17,1238.72,1920.0,2560.0,1920.0,1385.0,1663.0,3460.0,-900.0,-26.0,OK
18K,standard,11,8,11.64,1288.32,1997.0,2665.0,1998.75,1440.0,1730.0,3600.0,-935.0,-26.0,OK
18K,standard,11,9,12.11,1337.92,2074.0,2770.0,2077.5,1495.0,1796.0,3735.0,-965.0,-25.8,OK
18K,standard,11,10,12.59,1388.57,2152.0,2870.0,2152.5,1552.0,1864.0,3875.0,-1005.0,-25.9,OK
18K,standard,11,11,13.06,1438.17,2229.0,2975.0,2231.25,1607.0,1931.0,4010.0,-1035.0,-25.8,OK
18K,standard,11,12,13.53,1487.77,2306.0,3075.0,2306.25,1663.0,1998.0,4150.0,-1075.0,-25.9,OK
18K,standard,11,13,14.01,1538.42,2385.0,3180.0,2385.0,1719.0,2065.0,4285.0,-1105.0,-25.8,OK
18K,standard,11,14,14.48,1588.02,2461.0,3285.0,2463.75,1775.0,2132.0,4420.0,-1135.0,-25.7,OK
18K,standard,11,15,14.95,1637.61,2538.0,3385.0,2538.75,1830.0,2199.0,4560.0,-1175.0,-25.8,OK
18K,standard,11,16,15.42,1687.21,2615.0,3490.0,2617.5,1886.0,2265.0,4695.0,-1205.0,-25.7,OK
18K,standard,12,4,10.64,1182.8,1833.0,2445.0,1833.75,1322.0,1588.0,3315.0,-870.0,-26.2,OK
18K,standard,12,5,11.15,1236.61,1917.0,2560.0,1920.0,1382.0,1660.0,3465.0,-905.0,-26.1,OK
18K,standard,12,6,11.67,1291.49,2002.0,2670.0,2002.5,1444.0,1734.0,3615.0,-945.0,-26.1,OK
18K,standard,12,7,12.18,1345.31,2085.0,2780.0,2085.0,1504.0,1806.0,3765.0,-985.0,-26.2,OK
18K,standard,12,8,12.7,1400.18,2170.0,2895.0,2171.25,1565.0,1880.0,3910.0,-1015.0,-26.0,OK
18K,standard,12,9,13.22,1455.05,2255.0,3010.0,2257.5,1626.0,1954.0,4060.0,-1050.0,-25.9,OK
18K,standard,12,10,13.73,1508.87,2339.0,3120.0,2340.0,1686.0,2026.0,4215.0,-1095.0,-26.0,OK
18K,standard,12,11,14.24,1562.69,2422.0,3230.0,2422.5,1747.0,2098.0,4365.0,-1135.0,-26.0,OK
18K,standard,12,12,14.76,1617.56,2507.0,3345.0,2508.75,1808.0,2172.0,4510.0,-1165.0,-25.8,OK
18K,standard,12,13,15.28,1672.44,2592.0,3460.0,2595.0,1869.0,2245.0,4660.0,-1200.0,-25.8,OK
18K,standard,12,14,15.79,1726.25,2676.0,3570.0,2677.5,1929.0,2318.0,4815.0,-1245.0,-25.9,OK
18K,standard,12,15,16.31,1781.13,2761.0,3685.0,2763.75,1991.0,2391.0,4965.0,-1280.0,-25.8,OK
18K,standard,12,16,16.83,1836.0,2846.0,3795.0,2846.25,2052.0,2465.0,5110.0,-1315.0,-25.7,OK
18K,milgrain,2,4,2.04,285.27,442.0,590.0,442.5,319.0,383.0,695.0,-105.0,-15.1,OK
18K,milgrain,2,5,2.15,296.88,460.0,615.0,461.25,332.0,399.0,735.0,-120.0,-16.3,OK
18K,milgrain,2,6,2.26,308.49,478.0,640.0,480.0,345.0,415.0,775.0,-135.0,-17.4,OK
