karat,profil,genislik_mm,beden_us,gram_1_5mm,landed_usd,motor_usd,etsy_liste_usd,gorunen_sale_usd,floor_usd,offsite_floor_usd,canli_liste_usd,fark_usd,fark_yuzde,kontrol
18K,milgrain,2,7,2.36,319.04,495.0,660.0,495.0,357.0,429.0,810.0,-150.0,-18.5,OK
18K,milgrain,2,8,2.47,330.65,513.0,685.0,513.75,370.0,444.0,850.0,-165.0,-19.4,OK
18K,milgrain,2,9,2.57,341.2,529.0,710.0,532.5,382.0,458.0,885.0,-175.0,-19.8,OK
18K,milgrain,2,10,2.68,352.81,547.0,730.0,547.5,395.0,474.0,930.0,-200.0,-21.5,OK
18K,milgrain,2,11,2.78,363.36,563.0,755.0,566.25,406.0,488.0,960.0,-205.0,-21.4,OK
18K,milgrain,2,12,2.89,374.97,581.0,775.0,581.25,419.0,504.0,1000.0,-225.0,-22.5,OK
18K,milgrain,2,13,3.0,386.58,599.0,800.0,600.0,432.0,519.0,1035.0,-235.0,-22.7,OK
18K,milgrain,2,14,3.13,400.3,620.0,830.0,622.5,448.0,538.0,1065.0,-235.0,-22.1,OK
18K,milgrain,2,15,3.26,414.01,642.0,860.0,645.0,463.0,556.0,1100.0,-240.0,-21.8,OK
18K,milgrain,2,16,3.36,424.57,658.0,880.0,660.0,475.0,570.0,1145.0,-265.0,-23.1,OK
18K,milgrain,3,4,2.64,348.59,540.0,720.0,540.0,390.0,468.0,1010.0,-290.0,-28.7,OK
18K,milgrain,3,5,2.76,361.25,560.0,750.0,562.5,404.0,485.0,1055.0,-305.0,-28.9,OK
18K,milgrain,3,6,2.88,373.91,580.0,775.0,581.25,418.0,502.0,1100.0,-325.0,-29.5,OK
18K,milgrain,3,7,3.0,386.58,599.0,800.0,600.0,432.0,519.0,1140.0,-340.0,-29.8,OK
18K,milgrain,3,8,3.12,399.24,619.0,830.0,622.5,447.0,536.0,1185.0,-355.0,-30.0,OK
18K,milgrain,3,9,3.24,411.9,638.0,855.0,641.25,461.0,553.0,1230.0,-375.0,-30.5,OK
18K,milgrain,3,10,3.36,424.57,658.0,880.0,660.0,475.0,570.0,1270.0,-390.0,-30.7,OK
18K,milgrain,3,11,3.48,437.23,678.0,905.0,678.75,489.0,587.0,1315.0,-410.0,-31.2,OK
18K,milgrain,3,12,3.6,449.89,697.0,930.0,697.5,503.0,604.0,1360.0,-430.0,-31.6,OK
18K,milgrain,3,13,3.72,462.56,717.0,960.0,720.0,517.0,621.0,1405.0,-445.0,-31.7,OK
18K,milgrain,3,14,3.85,476.27,738.0,985.0,738.75,533.0,640.0,1435.0,-450.0,-31.4,OK
18K,milgrain,3,15,4.01,493.16,764.0,1020.0,765.0,552.0,662.0,1490.0,-470.0,-31.5,OK
18K,milgrain,3,16,4.08,500.55,776.0,1035.0,776.25,560.0,672.0,1535.0,-500.0,-32.6,OK
18K,milgrain,4,4,3.6,449.89,697.0,930.0,697.5,503.0,604.0,1270.0,-340.0,-26.8,OK
18K,milgrain,4,5,3.74,464.67,720.0,960.0,720.0,520.0,624.0,1320.0,-360.0,-27.3,OK
18K,milgrain,4,6,3.89,480.5,745.0,995.0,746.25,537.0,645.0,1375.0,-380.0,-27.6,OK
18K,milgrain,4,7,4.04,496.32,769.0,1030.0,772.5,555.0,667.0,1420.0,-390.0,-27.5,OK
18K,milgrain,4,8,4.19,512.15,794.0,1060.0,795.0,573.0,688.0,1470.0,-410.0,-27.9,OK
18K,milgrain,4,9,4.33,526.93,817.0,1090.0,817.5,589.0,708.0,1520.0,-430.0,-28.3,OK
18K,milgrain,4,10,4.48,542.76,841.0,1125.0,843.75,607.0,729.0,1570.0,-445.0,-28.3,OK
18K,milgrain,4,11,4.63,558.58,866.0,1155.0,866.25,625.0,750.0,1615.0,-460.0,-28.5,OK
18K,milgrain,4,12,4.78,574.41,890.0,1190.0,892.5,642.0,772.0,1670.0,-480.0,-28.7,OK
18K,milgrain,4,13,4.92,589.19,913.0,1220.0,915.0,659.0,791.0,1715.0,-495.0,-28.9,OK
18K,milgrain,4,14,5.04,601.85,933.0,1245.0,933.75,673.0,808.0,1770.0,-525.0,-29.7,OK
18K,milgrain,4,15,5.17,615.57,954.0,1275.0,956.25,688.0,827.0,1820.0,-545.0,-29.9,OK
18K,milgrain,4,16,5.4,639.84,992.0,1325.0,993.75,715.0,859.0,1870.0,-545.0,-29.1,OK
18K,milgrain,5,4,4.56,551.2,854.0,1140.0,855.0,616.0,740.0,1615.0,-475.0,-29.4,OK
18K,milgrain,5,5,4.75,571.25,885.0,1180.0,885.0,639.0,767.0,1670.0,-490.0,-29.3,OK
18K,milgrain,5,6,4.93,590.24,915.0,1220.0,915.0,660.0,793.0,1730.0,-510.0,-29.5,OK
18K,milgrain,5,7,5.12,610.29,946.0,1265.0,948.75,682.0,820.0,1790.0,-525.0,-29.3,OK
18K,milgrain,5,8,5.3,629.29,975.0,1300.0,975.0,704.0,845.0,1845.0,-545.0,-29.5,OK
18K,milgrain,5,9,5.5,650.39,1008.0,1345.0,1008.75,727.0,874.0,1900.0,-555.0,-29.2,OK
18K,milgrain,5,10,5.68,669.39,1038.0,1385.0,1038.75,748.0,899.0,1960.0,-575.0,-29.3,OK
18K,milgrain,5,11,5.87,689.44,1069.0,1430.0,1072.5,771.0,926.0,2020.0,-590.0,-29.2,OK
18K,milgrain,5,12,6.05,708.43,1098.0,1465.0,1098.75,792.0,951.0,2080.0,-615.0,-29.6,OK
18K,milgrain,5,13,6.24,728.48,1129.0,1510.0,1132.5,814.0,978.0,2135.0,-625.0,-29.3,OK
18K,milgrain,5,14,6.37,742.2,1150.0,1535.0,1151.25,830.0,997.0,2190.0,-655.0,-29.9,OK
18K,milgrain,5,15,6.5,755.92,1172.0,1565.0,1173.75,845.0,1015.0,2240.0,-675.0,-30.1,OK
18K,milgrain,5,16,7.01,809.74,1255.0,1675.0,1256.25,905.0,1087.0,2315.0,-640.0,-27.6,OK
18K,milgrain,6,4,5.4,639.84,992.0,1325.0,993.75,715.0,859.0,1900.0,-575.0,-30.3,OK
18K,milgrain,6,5,5.63,664.11,1029.0,1375.0,1031.25,743.0,892.0,1970.0,-595.0,-30.2,OK
18K,milgrain,6,6,5.86,688.38,1067.0,1425.0,1068.75,770.0,924.0,2035.0,-610.0,-30.0,OK
18K,milgrain,6,7,6.08,711.6,1103.0,1475.0,1106.25,796.0,956.0,2100.0,-625.0,-29.8,OK
18K,milgrain,6,8,6.31,735.87,1141.0,1525.0,1143.75,823.0,988.0,2165.0,-640.0,-29.6,OK
18K,milgrain,6,9,6.53,759.08,1177.0,1570.0,1177.5,849.0,1019.0,2235.0,-665.0,-29.8,OK
18K,milgrain,6,10,6.76,783.36,1214.0,1620.0,1215.0,876.0,1052.0,2300.0,-680.0,-29.6,OK
18K,milgrain,6,11,6.98,806.57,1250.0,1670.0,1252.5,902.0,1083.0,2370.0,-700.0,-29.5,OK
18K,milgrain,6,12,7.21,830.84,1288.0,1720.0,1290.0,929.0,1116.0,2435.0,-715.0,-29.4,OK
18K,milgrain,6,13,7.44,855.11,1325.0,1770.0,1327.5,956.0,1148.0,2500.0,-730.0,-29.2,OK
18K,milgrain,6,14,7.57,868.83,1347.0,1800.0,1350.0,971.0,1167.0,2555.0,-755.0,-29.5,OK
18K,milgrain,6,15,7.93,906.82,1406.0,1875.0,1406.25,1014.0,1218.0,2610.0,-735.0,-28.2,OK
18K,milgrain,6,16,8.16,931.09,1443.0,1925.0,1443.75,1041.0,1250.0,2690.0,-765.0,-28.4,OK
18K,milgrain,7,4,5.88,690.49,1070.0,1430.0,1072.5,772.0,927.0,2155.0,-725.0,-33.6,OK
18K,milgrain,7,5,6.14,717.93,1113.0,1485.0,1113.75,803.0,964.0,2250.0,-765.0,-34.0,OK
18K,milgrain,7,6,6.41,746.42,1157.0,1545.0,1158.75,834.0,1002.0,2350.0,-805.0,-34.3,OK
18K,milgrain,7,7,6.68,774.91,1201.0,1605.0,1203.75,866.0,1041.0,2445.0,-840.0,-34.4,OK
18K,milgrain,7,8,6.95,803.41,1245.0,1660.0,1245.0,898.0,1079.0,2540.0,-880.0,-34.6,OK
18K,milgrain,7,9,7.21,830.84,1288.0,1720.0,1290.0,929.0,1116.0,2650.0,-930.0,-35.1,OK
18K,milgrain,7,10,7.48,859.33,1332.0,1780.0,1335.0,961.0,1154.0,2735.0,-955.0,-34.9,OK
18K,milgrain,7,11,7.75,887.83,1376.0,1835.0,1376.25,992.0,1192.0,2845.0,-1010.0,-35.5,OK
18K,milgrain,7,12,8.02,916.32,1420.0,1895.0,1421.25,1024.0,1230.0,2925.0,-1030.0,-35.2,OK
18K,milgrain,7,13,8.28,943.75,1463.0,1955.0,1466.25,1055.0,1267.0,3020.0,-1065.0,-35.3,OK
18K,milgrain,7,14,8.4,956.42,1482.0,1980.0,1485.0,1069.0,1284.0,3120.0,-1140.0,-36.5,OK
18K,milgrain,7,15,8.64,981.74,1522.0,2030.0,1522.5,1097.0,1318.0,3210.0,-1180.0,-36.8,OK
18K,milgrain,7,16,9.12,1032.4,1600.0,2135.0,1601.25,1154.0,1386.0,3310.0,-1175.0,-35.5,OK
18K,milgrain,8,4,6.48,753.81,1168.0,1560.0,1170.0,843.0,1012.0,2435.0,-875.0,-35.9,OK
18K,milgrain,8,5,6.77,784.41,1216.0,1625.0,1218.75,877.0,1053.0,2530.0,-905.0,-35.8,OK
18K,milgrain,8,6,7.07,816.07,1265.0,1690.0,1267.5,912.0,1096.0,2620.0,-930.0,-35.5,OK
18K,milgrain,8,7,7.36,846.67,1312.0,1750.0,1312.5,946.0,1137.0,2700.0,-950.0,-35.2,OK
18K,milgrain,8,8,7.66,878.33,1361.0,1815.0,1361.25,982.0,1179.0,2790.0,-975.0,-34.9,OK
18K,milgrain,8,9,7.94,907.88,1407.0,1880.0,1410.0,1015.0,1219.0,2895.0,-1015.0,-35.1,OK
18K,milgrain,8,10,8.24,939.53,1456.0,1945.0,1458.75,1050.0,1262.0,2995.0,-1050.0,-35.1,OK
18K,milgrain,8,11,8.53,970.14,1504.0,2010.0,1507.5,1084.0,1303.0,3080.0,-1070.0,-34.7,OK
18K,milgrain,8,12,8.83,1001.79,1553.0,2075.0,1556.25,1120.0,1345.0,3170.0,-1095.0,-34.5,OK
18K,milgrain,8,13,9.12,1032.4,1600.0,2135.0,1601.25,1154.0,1386.0,3260.0,-1125.0,-34.5,OK
18K,milgrain,8,14,9.36,1057.72,1639.0,2190.0,1642.5,1182.0,1420.0,3355.0,-1165.0,-34.7,OK
18K,milgrain,8,15,9.6,1083.05,1679.0,2240.0,1680.0,1211.0,1454.0,3445.0,-1205.0,-35.0,OK
18K,milgrain,8,16,9.96,1121.04,1738.0,2320.0,1740.0,1253.0,1505.0,3535.0,-1215.0,-34.4,OK
18K,milgrain,9,4,7.98,912.1,1414.0,1890.0,1417.5,1020.0,1225.0,2535.0,-645.0,-25.4,OK
18K,milgrain,9,5,8.36,952.2,1476.0,1970.0,1477.5,1064.0,1279.0,2650.0,-680.0,-25.7,OK
18K,milgrain,9,6,8.75,993.35,1540.0,2055.0,1541.25,1110.0,1334.0,2760.0,-705.0,-25.5,OK
18K,milgrain,9,7,9.14,1034.51,1603.0,2140.0,1605.0,1156.0,1389.0,2875.0,-735.0,-25.6,OK
18K,milgrain,9,8,9.52,1074.61,1666.0,2225.0,1668.75,1201.0,1443.0,2985.0,-760.0,-25.5,OK
18K,milgrain,9,9,9.91,1115.76,1729.0,2310.0,1732.5,1247.0,1498.0,3095.0,-785.0,-25.4,OK
18K,milgrain,9,10,10.3,1156.92,1793.0,2395.0,1796.25,1293.0,1553.0,3210.0,-815.0,-25.4,OK
18K,milgrain,9,11,10.69,1198.07,1857.0,2480.0,1860.0,1339.0,1609.0,3325.0,-845.0,-25.4,OK
18K,milgrain,9,12,11.07,1238.17,1919.0,2560.0,1920.0,1384.0,1662.0,3435.0,-875.0,-25.5,OK
18K,milgrain,9,13,11.46,1279.33,1983.0,2645.0,1983.75,1430.0,1718.0,3550.0,-905.0,-25.5,OK
18K,milgrain,9,14,11.85,1320.48,2047.0,2730.0,2047.5,1476.0,1773.0,3660.0,-930.0,-25.4,OK
18K,milgrain,9,15,12.23,1360.58,2109.0,2815.0,2111.25,1521.0,1827.0,3775.0,-960.0,-25.4,OK
18K,milgrain,9,16,12.62,1401.74,2173.0,2900.0,2175.0,1567.0,1882.0,3890.0,-990.0,-25.4,OK
18K,milgrain,10,4,8.86,1004.96,1558.0,2080.0,1560.0,1123.0,1349.0,2805.0,-725.0,-25.8,OK
18K,milgrain,10,5,9.29,1050.34,1628.0,2175.0,1631.25,1174.0,1410.0,2930.0,-755.0,-25.8,OK
18K,milgrain,10,6,9.72,1095.71,1698.0,2265.0,1698.75,1225.0,1471.0,3050.0,-785.0,-25.7,OK
18K,milgrain,10,7,10.15,1141.09,1769.0,2360.0,1770.0,1275.0,1532.0,3180.0,-820.0,-25.8,OK
18K,milgrain,10,8,10.58,1186.46,1839.0,2455.0,1841.25,1326.0,1593.0,3300.0,-845.0,-25.6,OK
18K,milgrain,10,9,11.01,1231.84,1909.0,2550.0,1912.5,1377.0,1654.0,3430.0,-880.0,-25.7,OK
18K,milgrain,10,10,11.44,1277.22,1980.0,2640.0,1980.0,1428.0,1715.0,3550.0,-910.0,-25.6,OK
18K,milgrain,10,11,11.58,1291.99,2003.0,2675.0,2006.25,1444.0,1735.0,3680.0,-1005.0,-27.3,OK
18K,milgrain,10,12,12.3,1367.97,2120.0,2830.0,2122.5,1529.0,1837.0,3800.0,-970.0,-25.5,OK
18K,milgrain,10,13,12.73,1413.34,2191.0,2925.0,2193.75,1580.0,1898.0,3925.0,-1000.0,-25.5,OK
18K,milgrain,10,14,13.16,1458.72,2261.0,3015.0,2261.25,1630.0,1959.0,4055.0,-1040.0,-25.6,OK
18K,milgrain,10,15,13.59,1504.1,2331.0,3110.0,2332.5,1681.0,2019.0,4175.0,-1065.0,-25.5,OK
18K,milgrain,10,16,14.02,1549.47,2402.0,3205.0,2403.75,1732.0,2080.0,4300.0,-1095.0,-25.5,OK
18K,milgrain,11,4,9.75,1098.88,1703.0,2275.0,1706.25,1228.0,1476.0,3070.0,-795.0,-25.9,OK
18K,milgrain,11,5,10.22,1148.47,1780.0,2375.0,1781.25,1284.0,1542.0,3205.0,-830.0,-25.9,OK
18K,milgrain,11,6,10.7,1199.13,1859.0,2480.0,1860.0,1340.0,1610.0,3345.0,-865.0,-25.9,OK
18K,milgrain,11,7,11.17,1248.72,1936.0,2585.0,1938.75,1396.0,1677.0,3480.0,-895.0,-25.7,OK
18K,milgrain,11,8,11.64,1298.32,2012.0,2685.0,2013.75,1451.0,1743.0,3620.0,-935.0,-25.8,OK
18K,milgrain,11,9,12.11,1347.92,2089.0,2790.0,2092.5,1507.0,1810.0,3755.0,-965.0,-25.7,OK
18K,milgrain,11,10,12.59,1398.57,2168.0,2895.0,2171.25,1563.0,1878.0,3895.0,-1000.0,-25.7,OK
18K,milgrain,11,11,13.06,1448.17,2245.0,2995.0,2246.25,1619.0,1944.0,4030.0,-1035.0,-25.7,OK
18K,milgrain,11,12,13.53,1497.77,2322.0,3100.0,2325.0,1674.0,2011.0,4170.0,-1070.0,-25.7,OK
18K,milgrain,11,13,14.01,1548.42,2400.0,3200.0,2400.0,1731.0,2079.0,4305.0,-1105.0,-25.7,OK
18K,milgrain,11,14,14.48,1598.02,2477.0,3305.0,2478.75,1786.0,2145.0,4445.0,-1140.0,-25.6,OK
18K,milgrain,11,15,14.95,1647.61,2554.0,3410.0,2557.5,1841.0,2212.0,4580.0,-1170.0,-25.5,OK
18K,milgrain,11,16,15.42,1697.21,2631.0,3510.0,2632.5,1897.0,2279.0,4720.0,-1210.0,-25.6,OK
18K,milgrain,12,4,10.64,1192.8,1849.0,2470.0,1852.5,1333.0,1602.0,3335.0,-865.0,-25.9,OK
18K,milgrain,12,5,11.15,1246.61,1932.0,2580.0,1935.0,1393.0,1674.0,3485.0,-905.0,-26.0,OK
18K,milgrain,12,6,11.67,1301.49,2017.0,2690.0,2017.5,1455.0,1747.0,3635.0,-945.0,-26.0,OK
18K,milgrain,12,7,12.18,1355.31,2101.0,2805.0,2103.75,1515.0,1820.0,3785.0,-980.0,-25.9,OK
18K,milgrain,12,8,12.7,1410.18,2186.0,2915.0,2186.25,1576.0,1893.0,3935.0,-1020.0,-25.9,OK
18K,milgrain,12,9,13.22,1465.05,2271.0,3030.0,2272.5,1637.0,1967.0,4085.0,-1055.0,-25.8,OK
18K,milgrain,12,10,13.73,1518.87,2354.0,3140.0,2355.0,1698.0,2039.0,4235.0,-1095.0,-25.9,OK
18K,milgrain,12,11,14.24,1572.69,2438.0,3255.0,2441.25,1758.0,2111.0,4385.0,-1130.0,-25.8,OK
18K,milgrain,12,12,14.76,1627.56,2523.0,3365.0,2523.75,1819.0,2185.0,4535.0,-1170.0,-25.8,OK
18K,milgrain,12,13,15.28,1682.44,2608.0,3480.0,2610.0,1880.0,2259.0,4685.0,-1205.0,-25.7,OK
18K,milgrain,12,14,15.79,1736.25,2691.0,3590.0,2692.5,1940.0,2331.0,4835.0,-1245.0,-25.7,OK
18K,milgrain,12,15,16.31,1791.13,2776.0,3705.0,2778.75,2002.0,2405.0,4985.0,-1280.0,-25.7,OK
18K,milgrain,12,16,16.83,1846.0,2861.0,3815.0,2861.25,2063.0,2478.0,5135.0,-1320.0,-25.7,OK
