narrow_multiplier,wide_multiplier,eligible,market_score,minimum_standard_margin_pct,minimum_offsite_margin_pct,rejection_reasons
2.25,2.35,False,0.020981118874857863,44.97,29.97,narrow_price_step|wide_price_step
2.25,2.0,False,0.0212933447701975,39.44,24.44,standard_margin|offsite_margin|narrow_price_step
2.25,2.4,False,0.021502294623198196,44.97,29.97,narrow_price_step|wide_price_step
1.8,2.2,False,0.023903467922814142,33.8,18.8,standard_margin|offsite_margin
1.8,2.15,False,0.023925933221700627,33.8,18.8,standard_margin|offsite_margin
1.8,2.25,False,0.024027288485508,33.8,18.8,standard_margin|offsite_margin|wide_price_step
1.8,2.1,False,0.024110448509521494,33.8,18.8,standard_margin|offsite_margin
1.8,2.3,False,0.024297310597879217,33.8,18.8,standard_margin|offsite_margin|wide_price_step
1.8,2.05,False,0.02443030007785009,33.8,18.8,standard_margin|offsite_margin
1.8,2.35,False,0.02465712844296532,33.8,18.8,standard_margin|offsite_margin|wide_price_step
1.8,2.0,False,0.02496935433830496,33.8,18.8,standard_margin|offsite_margin
1.8,2.4,False,0.025178304191305657,33.8,18.8,standard_margin|offsite_margin|wide_price_step
1.75,2.2,False,0.030727893788752382,32.21,17.21,standard_margin|offsite_margin
1.75,2.15,False,0.030750359087638863,32.21,17.21,standard_margin|offsite_margin
1.75,2.25,False,0.030851714351446236,32.21,17.21,standard_margin|offsite_margin|wide_price_step
1.75,2.1,False,0.03093487437545973,32.21,17.21,standard_margin|offsite_margin
1.75,2.3,False,0.031121736463817454,32.21,17.21,standard_margin|offsite_margin|wide_price_step
1.75,2.05,False,0.03125472594378833,32.21,17.21,standard_margin|offsite_margin
1.75,2.35,False,0.03148155430890356,32.21,17.21,standard_margin|offsite_margin|wide_price_step
1.75,2.0,False,0.0317937802042432,32.21,17.21,standard_margin|offsite_margin
1.75,2.4,False,0.03200273005724389,32.21,17.21,standard_margin|offsite_margin|wide_price_step
